Placement,identifying number,M / F,Athlete,Sport,SSS,AES,Transfer,Continuing,Prev. E&D Instructor,Section #'s can't be placed into (due to prev professor),Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,2516,F, ,,,,,,,,106-15,106-21,106-22,106-28,106-17,106-24
,2518,M, ,,,,,,,,106-21,106-22,106-28,106-12,106-30,106-27
106-21,2522,F,,,Y,,,,,,106-21,106-15,106-30,106-13,106-11,106-32
106-21,2530,F, ,,Y,,,,,,106-31,106-22,106-21,106-13,106-11,106-10
,2550,M,,,,,,,,,106-21,106-06,106-03,106-08,106-20,106-27
,2553,F, ,,,,,,,,106-15,106-21,106-31,106-24,106-13,106-28
,2560,F, ,,,,,,,,106-06,106-21,106-27,106-24,106-26,
,2569,M,Y,FB,,,,,,,106-22,106-21,106-20,106-15,106-13,106-24
,2573,M, ,,,,,,,,106-22,106-32,106-28,106-21,106-30,
,2589,F, ,,,,,,,,106-22,106-14,106-01,106-12,106-15,106-30
,2591,F, ,,,,,,,,106-22,106-21,106-28,106-33,106-24,106-29
,2599,F, ,,,,,,,,106-22,106-28,106-31,106-22,106-13,106-11
,2602,F, ,,,,,,,,106-22,106-32,106-02,106-30,106-27,106-21
106-22,2611,M, ,,Y,,,,,,106-22,106-32,106-27,106-26,106-02,
,2624,F, ,,,,,,,,106-02,106-04,106-06,106-15,106-10,106-12
106-22,2629,M, ,,Y,,,,,,106-22,106-26,106-10,106-25,106-13,106-27
,2630,F, ,,,,,,,,106-22,106-26,106-27,106-31,106-15,106-14
,2633,M, ,,,,,,,,106-22,106-28,106-12,106-14,106-20,106-32
,2639,F,,,,,,,,,106-22,106-12,106-21,106-30,106-32,106-28
106-22,2642,F, ,,Y,,,,,,106-15,106-22,106-21,106-13,106-12,106-31
,2661,F, ,,,,,,,,106-22,106-26,106-27,106-20,106-31,106-21
,2669,F, ,,,,,,,,106-22,106-32,106-26,106-30,106-27,106-20
,2679,F, ,,,,,,,,106-22,106-02,106-21,106-06,106-28,
,2682,M,,,,,,,,,106-12,106-22,106-26,106-31,106-29,106-15
,2702,F, ,,,,,,,,106-15,106-22,106-17,106-27,106-26,106-31
,2722,F, ,,,,,,,,106-22,106-24,106-15,106-21,106-28,106-32
,2728,F, ,,,,,,,,106-24,106-27,106-28,106-15,106-25,106-31
106-24,2740,F, ,,Y,,,,,,106-31,106-18,106-24,106-15,106-30,106-11
,2750,F, ,,,,,,,,106-24,106-14,106-27,106-15,106-28,106-32
,2757,F, ,,,,,,,,106-24,106-30,106-31,106-36,106-07,106-05
,2758,M, ,,,,,,,,106-24,106-07,106-36,106-22,106-15,106-20
,2765,F, ,,,,,,,,106-24,106-27,106-12,106-22,106-33,106-31
,2770,F, ,,,,,,,,106-24,106-31,106-27,106-10,106-26,106-09
,2773,M, ,,,,,,,,106-24,106-15,106-10,106-27,106-30,106-14
,2783,F, ,,,,,,,,106-24,106-28,106-15,106-32,106-10,106-20
,2798,F, ,,,,,,,,106-24,106-07,106-36,106-10,106-28,106-27
,2801,F, ,,,,,,,,106-36,106-15,106-12,106-18,106-29,106-27
,2806,F, ,,,,,,,,106-24,106-31,106-26,106-33,106-27,106-10
,2810,F, ,,,,,,,,106-36,106-07,106-27,106-13,106-15,106-28
,2812,F, ,,,,,,,,106-36,106-31,106-32,106-06,106-15,106-08
,2831,F,Y,WCR,,,,,,,106-24,106-14,106-21,106-31,106-27,106-13
,2839,M, ,,,,,,,,106-24,106-31,106-28,106-22,106-27,106-15
,2863,M, ,,,,,,,,106-24,106-15,106-22,106-33,106-29,106-13
,2867,F, ,,,,,,,,106-24,106-11,106-31,106-28,106-14,106-10
,2869,F, ,,,,,,,,106-24,106-27,106-04,106-26,106-03,106-30
,2883,F,,,,,,,,,106-26,106-25,106-31,106-13,106-19,106-35
,2886,F, ,,,,,,,,106-25,106-30,106-14,106-24,106-20,
,2898,F,Y,"SO, WTF",,,,,,,106-27,106-26,106-31,106-22,106-03,106-06
,2901,F,,,,,,,,,106-27,106-26,106-25,106-03,106-08,106-20
,2903,F,,,,,Y,,,,106-31,106-26,106-25,106-28,106-29,106-30
,2909,F,Y,SO ,,,,,,,106-31,106-26,106-27,106-32,106-20,106-15
,2919,M,,,,,,,,,,,,,,
,2920,F, ,,,,,,,,106-31,106-25,106-27,106-10,106-14,106-30
,2921,F, ,,,,,,,,106-27,106-25,106-24,106-02,106-11,106-30
,2923,F,,,,,,,,,,,,,,
,2932,M, ,,,,,,,,106-25,106-32,106-15,106-28,106-18,106-26
,2955,F, ,,,,,,,,106-25,106-02,106-27,106-09,106-31,106-28
,2963,F, ,,,,,,,,106-27,106-25,106-32,106-14,106-09,106-20
106-25,2966,F, ,,Y,,,,,,106-25,106-26,106-15,106-31,106-27,106-35
,2981,F,,,,,,,,,,,,,,
,2985,F, ,,,,,,,,106-25,106-08,106-18,106-04,106-17,106-07
,2995,F, ,,,,,,,,106-25,106-26,106-27,106-15,106-01,106-17
,2996,F,Y,WBK,,,,,,,106-31,106-26,106-27,106-22,106-24,106-29
,2997,M,Y,BB,,,,,,,106-26,106-15,106-22,106-24,106-12,106-31
,2999,F, ,,,,,,,,106-26,106-06,106-17,106-07,106-31,106-35
106-26,3020,F, ,,Y,,,,,,106-26,106-31,106-27,106-20,106-21,106-13
,3035,F, ,,,,,,,,106-26,106-20,106-27,106-15,106-22,106-31
,3037,F, ,,,,,,,,106-26,106-31,106-21,106-27,106-17,106-32
,3043,F, ,,,,,,,,106-26,106-27,106-21,106-13,106-20,106-15
,3045,M, ,,,,,,,,106-31,106-26,106-33,106-14,106-21,
,3078,F, ,,,,,,,,106-26,106-31,106-32,106-15,106-10,106-27
,3104,F, ,,,,,,,,106-15,106-26,106-25,106-31,106-20,106-21
,3106,F, ,,,,,,,,106-15,106-21,106-26,106-31,106-22,106-27
,3119,F, ,,,,,,,,106-26,106-20,106-24,106-27,106-31,106-14
,3131,F,Y,SB,,,,,,,106-26,106-31,106-22,106-29,106-05,106-20
,3147,F, ,,,,,,,,106-26,106-31,106-27,106-11,106-12,106-13
,3150,F, ,,,,,,,,106-26,106-12,106-22,106-14,106-27,106-11
106-26,3151,F, ,,Y,,Y,,,,106-15,106-26,106-27,106-24,106-28,106-31
,3174,F, ,,,,,,,,106-26,106-06,106-31,106-01,106-27,
,3175,F, ,,,,,,,,106-15,106-26,106-25,106-30,106-20,106-21
,3183,M,,,,,,,,,106-26,106-31,106-21,106-22,106-27,106-12
,3193,F, ,,,,,,,,106-31,106-27,106-21,106-10,106-26,106-33
,3204,F,Y,WSW,,,,,,,106-27,106-31,106-24,106-09,106-20,106-13
,3213,F, ,,,,,,,,106-27,106-15,106-32,106-30,106-22,106-29
,3215,F, ,,,,,,,,106-27,106-26,106-31,106-15,106-28,106-10
106-27,3218,F,Y,WCC,Y,,,,,,106-27,106-21,106-26,106-12,106-18,106-33
,3225,M,,,,,,,,,106-27,106-15,106-04,106-02,106-36,106-29
,3247,F, ,,,,,,,,106-27,106-22,106-28,106-03,106-15,106-20
,3265,F, ,,,,,,,,106-27,106-26,106-31,106-32,106-15,106-28
,3282,F,Y,"SO, WTF",,,,,,,106-27,106-01,106-31,106-04,106-32,106-12
,3283,F, ,,,,,,,,106-27,106-26,106-04,106-22,106-24,
,3292,F, ,,,,,,,,106-27,106-14,106-26,106-22,106-11,106-28
,3297,F, ,,,,,,,,106-27,106-31,106-32,106-25,106-18,106-35
106-27,3307,M, ,,Y,,,,,,106-31,106-25,106-27,106-33,106-26,
106-27,3309,F, ,,Y,,,,,,106-27,106-31,106-26,106-21,106-10,106-11
,3332,F, ,,,,,,,,106-27,106-31,106-10,106-28,106-21,
,3335,F, ,,,,,,,,106-27,106-24,106-11,106-22,106-32,106-09
,3339,F, ,,,,,,,,106-27,106-26,106-14,106-24,106-20,106-11
,3345,F, ,,,,,,,,106-31,106-27,106-07,106-08,106-25,106-30
,3349,F,Y,VB,,,,,,,106-15,106-27,106-26,106-31,106-32,106-18
,3366,F,Y,SO,,,,,,,106-28,106-06,106-02,106-15,106-32,106-12
,3372,M,,,,,,,,,,,,,,
,3378,F, ,,,,,,,,106-31,106-27,106-28,106-22,106-24,106-13
106-28,3387,M, ,,Y,,,,,,106-28,106-22,106-21,106-14,106-19,106-20
,3389,F,,,,,,,,,106-28,106-15,106-26,106-31,106-30,106-12
,3419,F, ,,,,,,,,106-28,106-22,106-30,106-32,106-02,
,3423,M, ,,,,,,,,106-28,106-17,106-26,106-25,106-14,106-10
,3450,F, ,,,,,,,,106-28,106-11,106-15,106-31,106-32,
,3457,F, ,,,,,,,,106-28,106-26,106-02,106-15,106-29,106-32
,3464,F,,,,,,,,,,,,,,
,3467,F, ,,,,,,,,106-28,106-24,106-27,106-15,106-14,106-33
,3468,F, ,,,,,,,,106-28,106-17,106-32,106-22,106-12,
,3470,F, ,,,,,,,,106-28,106-15,106-10,106-05,106-03,106-11
,3476,F, ,,,,,,,,106-27,106-28,106-10,106-01,106-02,
,3478,M, ,,,,,,,,106-28,106-15,106-30,106-12,106-20,106-11
,3488,F, ,,,,,,,,106-28,106-24,106-31,106-21,106-27,106-15
,3515,F, ,,,,,,,,106-28,106-30,106-10,106-21,106-11,106-14
,3540,F, ,,,,,,,,106-28,106-27,106-24,106-26,106-12,106-14
,3544,F, ,,,,,,,,106-28,106-31,106-07,106-17,106-22,106-12
,3566,M,,,,,,,,,106-29,106-11,106-25,106-13,106-22,106-21
,3600,F,,,,,,,,,,,,,,
,3605,F, ,,,,,,,,106-29,106-02,106-25,106-03,106-27,106-18
,3611,M, ,,,,,,,,106-29,106-27,106-31,106-15,106-28,106-13
106-29,3614,M, ,,Y,,,,,,106-12,106-29,106-27,106-15,106-06,106-31
,3627,M, ,,,,,,,,106-29,106-12,106-25,106-28,106-22,106-30
,3634,M, ,,,,,,,,106-12,106-29,106-32,106-15,106-30,106-14
,3685,M, ,,,,,,,,106-22,106-29,106-12,106-30,106-31,106-14
,3698,F, ,,,,,,,,106-17,106-29,106-31,106-27,106-05,106-15
,3702,M, ,,,,,,,,106-21,106-15,106-29,106-17,106-32,106-28
,3708,F, ,,,,,,,,106-29,106-31,106-27,106-20,106-32,106-33
,3710,M, ,,,,,,,,106-28,106-29,106-08,106-17,106-12,
,3714,F,,,,,,,,,,,,,,
,3748,M, ,,,,,,,,106-12,106-21,106-29,106-22,106-15,106-18
,3753,F, ,,,,,,,,106-28,106-29,106-30,106-11,106-24,106-22
,3757,M, ,,,,,,,,106-36,106-17,106-29,106-05,106-35,106-15
,3760,M, ,,,,,,,,106-15,106-31,106-29,106-10,106-32,106-33
106-29,3767,F,Y,SO,Y,,,,,,106-21,106-26,106-29,106-03,106-10,106-24
,3779,F,,,,,,,,,106-30,106-21,106-24,106-27,106-13,106-31
,3797,F, ,,,,,,,,106-15,106-31,106-30,106-32,106-13,106-28
,3801,M,Y,MCC,,,,,,,106-30,106-28,106-22,106-15,106-21,106-12
,3802,M,,,,,,,,,106-30,106-12,106-11,106-21,106-09,106-32
,3808,M, ,,,,,,,,106-30,106-24,106-05,106-07,106-33,106-36
106-30,3812,M,Y,FB,Y,,,,,,106-30,106-12,106-26,106-15,106-20,106-14
,3819,M,Y,MBK,,,,,,,106-15,106-30,106-27,106-06,106-09,106-19
,3824,F, ,,,,,,,,106-03,106-05,106-15,106-26,106-10,106-27
,3830,F,,,,,,,,,106-15,106-30,106-22,106-32,106-12,106-13
,3834,F, ,,,,,,,,106-32,106-30,106-12,106-20,106-26,106-22
,3845,M,Y,"FB, MTF",,,,,,,106-05,106-30,106-12,106-22,106-33,106-32
,3875,F,Y,"SO, WTF",,,,,,,106-30,106-11,106-27,106-31,106-32,106-24
,3901,F, ,,,,,,,,106-27,106-30,106-31,106-26,106-19,106-15
,3903,F,,,,,Y,,,,106-30,106-12,106-29,106-18,106-31,106-27
106-05,3906,M, ,,Y,,,,,,106-25,106-05,106-35,106-17,106-04,106-03
,3918,F, ,,,,,,,,106-31,106-30,106-14,106-22,106-11,106-20
,3921,F, ,,,,,,,,106-31,106-30,106-12,106-25,106-06,106-18
,3928,F, ,,,,,,,,106-30,106-12,106-32,106-29,106-21,106-09
,3939,F,Y,"WCC, WTF",,,,,,,106-30,106-05,106-15,106-14,106-18,106-33
106-31,3945,M, ,,Y,,,,,,106-31,106-15,106-22,106-29,106-20,106-11
,3950,M, ,,,,,,,,106-31,106-07,106-26,106-11,106-27,106-14
,3980,F, ,,,,,,,,106-31,106-15,106-27,106-18,106-24,106-22
,3985,M, ,,,,,,,,106-31,106-27,106-15,106-26,106-24,106-29
,3994,F, ,,,,,,,,106-31,106-36,106-15,106-04,106-27,106-06
,4000,F, ,,,,,,,,106-31,106-21,106-26,106-27,106-12,106-13
,4008,F, ,,,,,,,,106-31,106-15,106-06,106-05,106-33,106-12
,4012,F,Y,SO,,,,,,,106-31,106-26,106-27,106-02,106-35,
,4014,F, ,,,,,,,,106-31,106-15,106-27,106-17,106-05,106-36
,4019,F, ,,,,,,,,106-31,106-04,106-25,106-12,106-27,106-02
,4022,F, ,,,,,,,,106-31,106-26,106-15,106-14,106-21,106-20
,4024,F,Y,SB,,,,,,,106-31,106-26,106-27,106-32,106-13,106-22
,4026,F, ,,,,,,,,106-31,106-26,106-27,106-30,106-11,106-13
,4035,F, ,,,,,,,,106-31,106-27,106-26,106-36,106-20,106-15
,4050,F, ,,,,,,,,106-31,106-22,106-21,106-13,106-28,
106-31,4058,M,Y,FB,Y,,,,,,106-31,106-25,106-27,106-15,106-12,
,4061,F, ,,,,,,,,106-31,106-26,106-15,106-04,106-14,106-28
,4066,F,Y,SO,,,,,,,106-31,106-26,106-15,106-10,106-05,
,4069,M, ,,,,,,,,106-31,106-28,106-21,106-27,106-12,106-30
,4070,M, ,,,,,,,,106-26,106-32,106-27,106-05,106-31,106-20
,4074,F, ,,,,,,,,106-31,106-32,106-30,106-24,106-10,106-28
,4082,F, ,,,,,,,,106-32,106-27,106-30,106-26,106-14,106-09
,4083,M, ,,,,,,,,106-32,106-12,106-22,106-21,106-31,106-28
,4089,M,,,,,Y,,,,106-32,106-22,106-21,106-27,106-09,106-26
,4092,F,,,,,Y,,,,106-32,106-12,106-06,106-05,106-15,106-07
,4093,M, ,,,,,,,,106-32,106-28,106-36,106-27,106-01,106-19
106-32,4099,M, ,,Y,,,,,,106-32,106-24,106-30,106-15,106-21,
,4100,F, ,,,,,,,,106-32,106-15,106-14,106-26,106-11,106-29
,4108,M, ,,,,,,,,106-32,106-21,106-15,106-24,106-20,106-22
,4114,M,Y,,,,,,,,106-32,106-03,106-12,106-02,106-11,
,4118,M, ,,,,,,,,106-32,106-24,106-15,106-25,106-29,
,4127,M, ,,,,,,,,106-31,106-32,106-27,106-21,106-22,106-12
,4132,M, ,,,,,,,,106-32,106-11,106-24,106-27,106-14,106-33
106-32,4157,M,,,,Y,,,,,106-32,106-11,106-10,106-21,106-09,106-12
,4159,F,,,,,,,,,106-32,106-21,106-01,106-17,106-14,106-14
106-32,4168,F, ,,Y,,,,,,106-32,106-22,106-06,106-28,106-04,106-35
,4173,F, ,,,,,,,,106-32,106-26,106-27,106-09,106-11,106-22
,4205,F, ,,,,,,,,106-32,106-15,106-14,106-30,106-21,
,4229,F, ,,,,,,,,106-33,106-15,106-35,106-02,106-06,106-36
,4233,F, ,,,,,,,,106-12,106-33,106-15,106-31,106-04,106-26
,4235,F, ,,,,,,,,106-27,106-11,106-33,106-20,106-24,106-09
,4236,F, ,,,,,,,,106-21,106-31,106-33,106-27,106-26,106-35
,4284,F, ,,,,,,,,106-33,106-04,106-25,106-31,106-32,106-05
,4291,M,,,,,,,,,106-27,106-33,106-31,106-25,106-32,
,4294,M, ,,,,,,,,106-24,106-27,106-33,106-26,106-32,106-05
,4298,F, ,,,,,,,,106-33,106-35,106-10,106-06,106-15,106-29
,4299,M, ,,,,,,,,106-33,106-32,106-31,106-11,106-26,106-20
,4300,F, ,,,,,,,,106-31,106-27,106-33,106-06,106-32,106-25
,4310,M, ,,,,,,,,106-24,106-33,106-11,106-13,106-29,106-30
,4328,F, ,,,,,,,,106-31,106-12,106-33,106-22,106-15,106-09
,4329,F, ,,,,,,,,106-33,106-21,106-29,106-15,106-32,
,4333,M, ,,,,,,,,106-33,106-24,106-20,106-31,106-15,106-12
,4352,M,,,,,Y,,,,,,,,,
,4380,M, ,,,,,,,,106-33,106-15,106-30,106-29,106-32,106-12
,4387,M,,,,,,,,,,,,,,
,4397,M,,,,,,,,,,,,,,
,4411,M,,,,,,,,,,,,,,
,4416,F, ,,,,,,,,106-35,106-15,106-22,106-05,106-03,106-25
,4431,F, ,,,,,,,,106-35,106-27,106-31,106-24,106-30,106-21
,4433,M,Y,MSW,,,,,,,106-03,106-05,106-35,106-08,106-04,106-36
,4546,M,Y,MCR,,,,,,,106-01,106-02,106-35,106-15,106-05,106-21
,4558,F, ,,,,,,,,106-02,106-10,106-35,106-25,106-31,
,4571,M,,,,,,,,,,,,,,
,4580,F, ,,,,,,,,106-08,106-31,106-06,106-19,106-15,106-14
,4595,F, ,,,,,,,,106-35,106-22,106-10,106-03,106-06,106-07
,4644,F, ,,,,,,,,106-02,106-35,106-03,106-17,106-03,106-26
,4647,F,,,,,,,,,106-35,106-04,106-31,106-36,106-03,106-26
106-35,4650,M, ,,Y,,,,,,106-06,106-35,106-29,106-15,106-10,106-18
,4654,F, ,,,,,,,,106-07,106-31,106-27,106-19,106-15,106-17
,4658,F, ,,,,,,,,106-35,106-26,106-28,106-07,106-01,106-04
,4671,F, ,,,,,,,,106-24,106-35,106-31,106-03,106-15,106-26
,4680,F,,,,,,,,,106-35,106-26,106-31,106-15,106-33,106-32
,4695,F,Y,"VB, WTF",,,,,,,106-13,106-24,106-22,106-30,106-14,106-20
,4702,M,Y,"FB, BB",,,,,,,106-15,106-06,106-19,106-05,106-02,
106-19,4714,F, ,,Y,,,,,,106-15,106-20,106-11,106-19,106-21,106-27
106-35,4729,F,,,Y,,,,,,106-28,106-35,106-19,106-13,106-17,106-14
,4736,F, ,,,,,,,,106-36,106-07,106-24,106-32,106-27,106-33
,4779,F, ,,,,,,,,106-36,106-03,106-26,106-28,106-09,106-02
,4790,M, ,,,,,,,,106-36,106-24,106-01,106-27,106-26,106-02
106-24,4807,F, ,,Y,,,,,,106-31,106-24,106-25,106-27,106-13,106-15
,4832,M, ,,,,,,,,106-36,106-04,106-02,106-03,106-35,106-17
106-36,4833,F,,,,Y,,,,,106-36,106-06,106-19,106-35,106-07,106-11
,4835,F, ,,,,,,,,106-31,106-24,106-22,106-21,106-15,106-28
,4839,M, ,,,,,,,,106-26,106-32,106-24,106-10,106-25,106-15
,4854,M,Y,MBK,,,,,,,106-32,106-15,106-24,106-26,106-05,106-27
,4862,F, ,,,,,,,,106-36,106-25,106-31,106-27,106-32,106-29
,4865,M, ,,,,,,,,106-36,106-07,106-24,106-33,106-15,106-14
,4866,M, ,,,,,,,,106-36,106-12,106-01,106-02,106-29,106-13
,4875,F, ,,,,,,,,106-36,106-04,106-01,106-05,106-03,106-29
